ga:userType,ga:fullReferrer,ga:source,ga:medium,ga:networkDomain,ga:networkLocation,ga:landingPagePath,ga:sessions,ga:bounceRate,ga:pageviewsPerSession,ga:timeOnPage,isSpam
New Visitor,(direct),(direct),(none),(not set),(not set),/,50,56.00000000000001,2.22,1995.0,0
New Visitor,(direct),(direct),(none),(not set),(not set),/collections/Festivals/Hurricane-Festival+2011,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),(not set),(not set),/collections/Zitate,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),(not set),(not set),/collections/Zitate/Sammlung,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),(not set),(not set),/development/2013-07-17+SoapUI+Development+Process,1,0.0,2.0,76.0,0
New Visitor,(direct),(direct),(none),(not set),(not set),/development/Docker/Composer+Ignore+System+requirements,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),(not set),(not set),/development/Docker/Dockerize-Magento,5,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),(not set),(not set),/development/Docker/Getting+Started,1,0.0,2.0,89.0,0
New Visitor,(direct),(direct),(none),(not set),(not set),/development/JavaScript/Migrating-from-PrototypeJS-to-jQuery/,2,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),(not set),(not set),/development/Productivity/i3-Window-Manager,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),(not set),(not set),/development/Productivity/i3-Window-Manager/,2,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),(not set),(not set),/random/2007-10-25-Schnüffelparty-Uni-Paderborn,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),(not set),(not set),/random/2008-10-12-Serengeti-Park,2,50.0,1.5,13.0,0
New Visitor,(direct),(direct),(none),(not set),(not set),/random/2008-10-12-Serengeti-Park/,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),(not set),(not set),/random/2010-05-04+Der+Blaue+Blitz+ist+auf+dem+Weg+ins+Jenseits+nach+Afrika,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),(not set),(not set),/random/2010-12-18-Tiefschnee-in-Rheda/,1,0.0,3.0,46.0,0
New Visitor,(direct),(direct),(none),(not set),(not set),/random/2011-04-10+Pocketbook+Pro+903+eBook+Reader+Review,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),(not set),(not set),/random/2014-03-26+Rubik-Cube+Anleitung,10,80.0,1.5,1740.0,0
New Visitor,(direct),(direct),(none),(not set),(not set),/random/2014-03-26-Rubik-Cube-Anleitung,2,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),(not set),(not set),/random/2014-03-26-Rubik-Cube-Anleitung/,1,0.0,3.0,439.0,0
New Visitor,(direct),(direct),(none),(not set),(not set),/random/2015-01-11-Der-Kern-aller-Glaubenskriege-bleibt-letzten-Endes-die-Dummheit,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),(not set),(not set),/web/20141218211706/https://andykdocs.de/,1,0.0,2.0,23.0,0
New Visitor,(direct),(direct),(none),(not set),comcel s.a.,/,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),(not set),e.i. du pont de nemours and co. inc.,/,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),(not set),flywan s.a.,/collections,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),(not set),google inc.,/collections/Konzerte/2011-06-06+Amplifier+spielen+The+Octopus+im+Forum+Bielefeld,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),(not set),klayer,/development/SSL/Lets+Encrypt+Beta+Program,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),(not set),pacenet meghbela broadband pvt ltd,/development/Docker/Dockerize-Magento,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),(not set),quick attach attachments llc,/,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),(not set),quick attach attachments llc,/development/Docker,1,0.0,4.0,1287.0,0
New Visitor,(direct),(direct),(none),(not set),ukraine ternopil,/development/Docker/Dockerize-Magento,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),012.net.il,indigo,/development/,1,0.0,2.0,1342.0,0
New Visitor,(direct),(direct),(none),100tb.com,hosting services inc,/development/Docker/Dockerize-Magento,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),100tb.com,hosting services inc,/development/Docker/Fixing+the+Docker+TERM+variable+issue,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),163data.com.cn,chinanet shanghai province network,/development/Docker/Hosting-your-own-docker-registry,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),1e100.net,google inc.,/,73,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),27-tataidc.co.in,mumbai packet core network,/development/Windows/Windows+10+Installation,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),2day.kz,fttb_oskemen,/development/BitTorrent-Sync/Run-Bittorrent-Sync-as-a-service-on-CentOS,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),3s.pl,3s s.a.,/development/Docker/Dockerize-Magento/,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),academica.fi,telecitygroup finland oy,/,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),accenture.com,accenture services pvt ltd,/development/Magento/2013-03-15+Deploying+Magento+Modules+with+modman,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),acesskenya.net,porsche centre nairobi limited,/development/Docker/Dockerize-Magento,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),actsfullgospel.org,at&t services inc.,/development/git/2013-01-16-Change-commit-date,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),adinet.com.uy,cliente antel uruguay,/development/Magento/2015-07-03+Magento+Store+Folders+Same+Website,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),airtelbroadband.in,abts (karnataka),/development/Docker/Dockerize-Magento,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),airtelbroadband.in,abts tamilnadu,/,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),airtelbroadband.in,bharti telenet ltd.mumbai,/development/Magento/2013-03-15+Deploying+Magento+Modules+with+modman,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),akamaitechnologies.com,akamai technologies inc.,/,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),alicedsl.de,telefonica germany gmbh & co. ohg,/collections/Zitate/Sammlung,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),alshamil.net.ae,emirates telecommunications corporation,/,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),amazonaws.com,amazon technologies inc.,/,27,100.0,1.0,0.0,0
