isNewVisitor,fullReferrerIsSet,mediumIsSet,networkDomainIsSet,networkLocationIsSet,landingPagePathIsSet,sessions,bounceRate,pageviewsPerSession,timeOnPage,source,isSpam
0,0,1,0,0,0,22,36.363636,2.6818182,1105,(direct),0
0,0,1,0,0,1,1,100,1,0,(direct),0
0,0,1,0,0,1,1,0,2,76,(direct),0
0,0,1,0,0,1,5,100,1,0,(direct),0
0,0,1,0,0,1,1,0,9,930,(direct),0
0,0,1,0,0,1,1,0,2,89,(direct),0
0,0,1,0,0,1,1,0,5,19,(direct),0
0,0,1,0,0,1,2,100,1,0,(direct),0
0,0,1,0,0,1,11,81.818184,1.4545455,1740,(direct),0
0,0,1,0,0,1,1,0,11,16,(direct),0
0,0,1,0,0,1,1,0,2,23,(direct),0
0,0,1,0,1,1,1,100,1,0,(direct),0
0,0,1,0,1,0,2,50,3.5,88,(direct),0
0,0,1,0,1,1,1,0,4,1287,(direct),0
0,0,1,1,1,1,1,100,1,0,(direct),0
0,0,1,1,1,1,2,50,1.5,79,(direct),0
0,0,1,1,1,0,1,100,1,0,(direct),0
0,0,1,1,1,0,15,100,1,0,(direct),0
0,0,1,1,1,1,4,100,1,0,(direct),0
0,0,1,1,1,1,6,100,1,0,(direct),0
0,0,1,1,1,1,5,100,1,0,(direct),0
0,0,1,1,1,1,7,100,1,0,(direct),0
0,0,1,1,1,1,1,0,2,54,(direct),0
0,0,1,1,1,1,1,0,3,530,(direct),0
0,0,1,1,1,1,1,0,2,891,(direct),0
0,0,1,1,1,1,1,0,3,82,(direct),0
0,0,1,1,1,0,1,0,2,33,(direct),0
0,0,1,1,1,1,2,0,2.5,144,(direct),0
0,0,1,1,1,1,2,0,4.5,559,(direct),0
0,0,1,1,1,0,1,0,2,10,(direct),0
0,0,1,1,1,1,1,0,4,171,(direct),0
0,0,1,1,1,1,2,100,1,0,(direct),0
0,0,1,1,1,1,1,0,5,511,(direct),0
0,0,1,1,1,1,1,0,2,1144,(direct),0
0,0,1,1,1,1,1,0,2,26,(direct),0
0,0,1,1,1,1,2,50,1.5,121,(direct),0
0,0,1,1,1,0,1,0,4,114,(direct),0
0,0,1,1,1,0,1,0,8,474,(direct),0
0,0,1,1,1,1,1,0,2,105,(direct),0
0,0,1,1,1,1,1,0,3,85,(direct),0
0,0,1,1,1,1,2,50,7,75,(direct),0
0,0,1,1,1,0,8,37.5,3.875,1900,(direct),0
0,0,1,1,1,0,2,100,1,0,(direct),0
0,0,1,1,1,1,1,0,3,1845,(direct),0
0,0,1,1,1,1,1,0,4,27,(direct),0
0,0,1,1,1,1,1,0,2,59,(direct),0
0,0,1,1,1,1,1,0,2,27,(direct),0
0,0,1,1,1,1,1,0,63,2972,(direct),0
0,0,1,1,1,1,1,0,2,61,(direct),0
0,0,1,1,1,1,1,0,2,181,(direct),0
0,0,1,1,1,1,1,0,2,58,(direct),0
0,0,1,1,1,1,1,0,2,47,(direct),0
0,0,1,1,1,1,3,0,29.333334,5677,(direct),0
0,0,1,1,1,1,1,0,3,9,(direct),0
0,0,1,1,1,1,2,50,1.5,615,(direct),0
0,0,1,1,1,1,2,50,2.5,137,(direct),0
0,0,1,1,1,1,1,0,3,205,(direct),0
0,0,1,1,1,0,5,100,1,0,(direct),0
0,0,1,1,1,1,9,88.888885,1.1111112,53,(direct),0
0,0,1,1,1,1,3,100,1,0,(direct),0
0,0,1,1,1,1,1,0,3,365,(direct),0
0,0,1,1,1,1,1,0,3,101,(direct),0
0,0,1,1,1,1,1,0,9,13,(direct),0
0,0,1,1,1,1,1,0,18,193,(direct),0
0,0,1,1,1,0,1,0,4,12,(direct),0
0,0,1,1,1,1,2,50,1.5,1508,(direct),0
0,0,1,1,1,1,1,0,2,81,(direct),0
0,0,1,1,1,1,1,0,2,15,(direct),0
0,0,1,1,1,1,1,0,2,259,(direct),0
0,0,1,1,1,1,1,0,4,318,(direct),0
0,0,1,1,1,1,2,0,4.5,2435,(direct),0
0,0,1,1,1,1,1,0,3,30,(direct),0
0,0,1,1,1,1,1,0,3,48,(direct),0
0,0,1,1,1,1,1,0,6,157,(direct),0
0,0,1,1,1,1,1,0,2,28,(direct),0
0,0,1,1,1,1,1,0,3,108,(direct),0
0,0,1,1,1,1,1,0,3,72,(direct),0
0,0,1,1,1,0,3,33.333332,3,41,(direct),0
0,0,1,1,1,1,3,33.333332,36.666668,1874,(direct),0
0,0,1,1,1,1,4,25,1.75,1140,(direct),0
0,0,1,1,1,1,1,0,2,6,(direct),0
0,0,1,1,1,1,1,0,3,573,(direct),0
0,0,1,1,1,1,1,0,2,10,(direct),0
0,0,1,1,1,0,1,0,5,59,(direct),0
0,0,1,1,1,0,2,0,2.5,320,(direct),0
0,0,1,1,1,1,1,0,2,1675,(direct),0
0,0,1,1,1,1,1,0,3,215,(direct),0
0,0,1,1,1,1,1,0,5,46,(direct),0
0,0,1,1,1,1,1,0,4,89,(direct),0
0,0,1,1,1,0,1,0,3,2,(direct),0
0,0,1,1,1,0,1,0,3,32,(direct),0
0,0,1,1,1,0,1,0,2,323,(direct),0
0,0,1,1,1,1,1,0,3,80,(direct),0
0,0,1,1,1,1,1,0,2,24,(direct),0
0,0,1,1,1,0,1,0,3,82,(direct),0
0,0,1,1,1,0,1,0,2,1640,(direct),0
0,0,1,1,1,1,1,0,5,316,(direct),0
0,0,1,1,1,0,1,0,2,3,(direct),0
0,0,1,1,1,1,1,0,3,870,(direct),0
0,0,1,1,1,1,1,0,2,109,(direct),0
0,0,1,1,1,1,2,50,2,918,(direct),0
0,0,1,1,1,1,2,50,1.5,208,(direct),0
0,0,1,1,1,1,4,75,6.5,657,(direct),0
0,0,1,1,1,1,1,0,2,393,(direct),0
0,0,1,1,1,1,1,0,3,395,(direct),0
0,0,1,1,1,1,1,0,2,36,(direct),0
0,0,1,1,1,0,1,0,7,143,(direct),0
0,0,1,1,1,1,2,0,11,1823,(direct),0
0,0,1,1,1,1,1,0,2,1346,(direct),0
0,0,1,1,1,0,2,50,1.5,18,(direct),0
0,0,1,1,1,1,2,50,1.5,0,(direct),0
0,0,1,1,1,1,1,0,2,707,(direct),0
0,0,1,1,1,1,5,60,7.4,586,(direct),0
0,0,1,1,1,0,1,0,8,426,(direct),0
0,0,1,1,1,0,1,0,8,632,(direct),0
0,0,1,1,1,0,1,0,3,70,(direct),0
